region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
7,5,6,54.0,618,47.0,104,47.0,206
11,9,10,54.0,1135,47.0,103,47.0,206
14,12,13,54.0,1547,51.0,103,51.0,206
19,17,18,54.0,2167,51.0,103,47.0,206
46,44,45,54.0,5061,51.0,103,47.0,206
60,58,59,54.0,6610,51.0,103,47.0,206
69,67,68,54.0,7644,47.0,103,51.0,206
75,73,74,54.0,8368,47.0,103,47.0,206
87,85,86,54.0,9710,47.0,103,47.0,206
135,133,134,54.0,14772,51.0,103,47.0,206
140,138,139,51.0,15396,51.0,103,51.0,206
203,201,202,54.0,22006,51.0,103,47.0,208
238,236,237,54.0,25727,51.0,103,47.0,206
251,249,250,54.0,27173,51.0,103,47.0,206
252,250,251,54.0,27277,47.0,206,47.0,206
254,252,253,54.0,27689,47.0,103,47.0,206
276,274,275,54.0,30066,47.0,103,47.0,206
277,275,276,54.0,30169,47.0,206,47.0,206
279,277,278,54.0,30581,51.0,103,47.0,206
287,285,286,54.0,31511,47.0,103,51.0,206
292,290,291,54.0,32131,47.0,103,51.0,206
295,293,294,54.0,32547,47.0,103,47.0,206
301,299,300,54.0,33269,51.0,103,51.0,206
309,307,308,54.0,34199,47.0,103,51.0,206
321,319,320,54.0,35542,47.0,103,47.0,208
343,341,342,54.0,37919,47.0,103,47.0,206
348,346,347,54.0,38539,47.0,103,51.0,206
349,347,348,54.0,38642,51.0,206,47.0,206
369,367,368,54.0,40915,51.0,103,47.0,206
371,369,370,54.0,41225,47.0,103,47.0,206
373,371,372,54.0,41534,47.0,103,51.0,206
381,379,380,54.0,42466,47.0,103,47.0,206
395,393,394,54.0,44016,47.0,103,47.0,206
429,427,428,54.0,47631,47.0,103,51.0,206
447,445,446,54.0,49595,47.0,103,47.0,206
453,451,452,51.0,50322,51.0,103,51.0,206
471,469,470,54.0,52283,47.0,103,47.0,210
475,473,474,51.0,52801,47.0,103,47.0,206
477,475,476,54.0,53111,51.0,103,47.0,206
485,483,484,51.0,54041,47.0,103,51.0,206
489,487,488,51.0,54557,47.0,103,51.0,206
490,488,489,51.0,54661,51.0,206,47.0,206
492,490,491,51.0,55073,47.0,103,47.0,206
498,496,497,51.0,55796,47.0,103,51.0,206
515,513,514,51.0,57656,47.0,103,47.0,206
516,514,515,51.0,57760,47.0,206,51.0,206
524,522,523,51.0,58792,47.0,104,47.0,206
545,543,544,51.0,61066,47.0,103,51.0,206
547,545,546,51.0,61375,47.0,103,47.0,206
573,571,572,51.0,64164,47.0,103,47.0,206
576,574,575,51.0,64577,47.0,103,47.0,206
608,606,607,51.0,67988,47.0,103,51.0,206
